7zip	25.01+dfsg-1~deb13u2
libxcb-util1:arm64	0.4.1-1
libxcb-xfixes0:arm64	1.17.0-2+b1
libxcb-xinerama0:arm64	1.17.0-2+b1
libxcb-xinput0:arm64	1.17.0-2+b1
libxcb-xkb1:arm64	1.17.0-2+b1
libxcb1:arm64	1.17.0-2+b1
libxcb1-dev:arm64	1.17.0-2+b1
libxcomposite1:arm64	1:0.4.6-1
libxcursor1:arm64	1:1.2.3-1
libxdamage1:arm64	1:1.1.6-1+b2
libxdmcp-dev:arm64	1:1.1.5-1
libxdmcp6:arm64	1:1.1.5-1
libxext-dev:arm64	2:1.3.4-1+b3
libxext6:arm64	2:1.3.4-1+b3
libxfixes3:arm64	1:6.0.0-2+b4
libxi6:arm64	2:1.8.2-1
libxinerama1:arm64	2:1.1.4-3+b4
libxkbcommon-x11-0:arm64	1.7.0-2
libxkbcommon0:arm64	1.7.0-2
libxml2:arm64	2.12.7+dfsg+really2.9.14-2.1+deb13u2
libxmuu1:arm64	2:1.1.3-3+b4
libxnvctrl0:arm64	535.171.04-1+b2
libxrandr2:arm64	2:1.5.4-1+b3
libxrender1:arm64	1:0.9.12-1
libxshmfence1:arm64	1.3.3-1
libxss1:arm64	1:1.2.3-1+b3
libxt-dev:arm64	1:1.2.1-1.2+b2
libxt6t64:arm64	1:1.2.1-1.2+b2
libxtables12:arm64	1.8.11-2
libxtst6:arm64	2:1.2.5-1
libxv1:arm64	2:1.0.11-1.1+b3
libxvidcore4:arm64	2:1.3.7-1+b2
libxxf86vm1:arm64	1:1.1.4-1+b4
libxxhash0:arm64	0.8.3-2
libyaml-0-2:arm64	0.2.5-2
libyuv0:arm64	0.0.1904.20250204-1
libz3-4:arm64	4.13.3-1
libzimg2:arm64	3.0.5+ds1-1+b2
libzix-0-0:arm64	0.6.2-1
libzmq5:arm64	4.3.5-1+b3
libzstd1:arm64	1.5.7+dfsg-1
libzvbi-common	0.2.44-1
libzvbi0t64:arm64	0.2.44-1
linux-base	4.12.1
linux-base-6.18.29+rpt-rpi-2712	1:6.18.29-1+rpt1
linux-base-6.18.29+rpt-rpi-v8	1:6.18.29-1+rpt1
linux-base-rpi-2712	1:6.18.29-1+rpt1
linux-base-rpi-v8	1:6.18.29-1+rpt1
linux-headers-6.12.75+rpt-common-rpi	1:6.12.75-1+rpt1
linux-headers-6.12.75+rpt-rpi-2712	1:6.12.75-1+rpt1
linux-headers-6.12.75+rpt-rpi-v8	1:6.12.75-1+rpt1
linux-headers-6.18.29+rpt-common-rpi	1:6.18.29-1+rpt1
linux-headers-6.18.29+rpt-rpi-2712	1:6.18.29-1+rpt1
linux-headers-6.18.29+rpt-rpi-v8	1:6.18.29-1+rpt1
linux-headers-rpi-2712	1:6.18.29-1+rpt1
linux-headers-rpi-v8	1:6.18.29-1+rpt1
linux-image-6.12.75+rpt-rpi-2712	1:6.12.75-1+rpt1
linux-image-6.12.75+rpt-rpi-v8	1:6.12.75-1+rpt1
linux-image-6.18.29+rpt-rpi-2712	1:6.18.29-1+rpt1
linux-image-6.18.29+rpt-rpi-v8	1:6.18.29-1+rpt1
linux-image-rpi-2712	1:6.18.29-1+rpt1
linux-image-rpi-v8	1:6.18.29-1+rpt1
linux-kbuild-6.12.75+rpt	1:6.12.75-1+rpt1
linux-kbuild-6.18.29+rpt	1:6.18.29-1+rpt1
linux-libc-dev	1:6.18.29-1+rpt1
linux-sysctl-defaults	4.12.1
locales	2.41-12+rpt1+deb13u2
login	1:4.16.0-2+really2.41-5
login.defs	1:4.17.4-2
logrotate	3.22.0-1+b2
logsave	1.47.2-3+b11
lsb-release	12.1-1
lua5.1	5.1.5-11
luajit	2.1.0+openresty20250117-2
make	4.4.1-2
man-db	2.13.1-1
manpages	6.9.1-1
manpages-dev	6.9.1-1
mawk	1.3.4.20250131-1
media-types	13.0.0
mesa-libgallium:arm64	25.0.7-2+rpt4
mesa-va-drivers:arm64	25.0.7-2+rpt4
mesa-vdpau-drivers:arm64	25.0.7-2+rpt4
mesa-vulkan-drivers:arm64	25.0.7-2+rpt4
mkvtoolnix	92.0-1
mount	2.41-5
nano	8.4-1+deb13u1
ncdu	1.22-1
ncurses-base	6.5+20250216-2
ncurses-bin	6.5+20250216-2
ncurses-term	6.5+20250216-2
net-tools	2.10-1.3
netbase	6.5
netcat-openbsd	1.229-1
netplan-generator	1.1.2-7+rpt1
netplan.io	1.1.2-7+rpt1
network-manager	1.52.1-1+rpt4
network-manager-l10n	1.52.1-1+rpt4
nftables	1.1.3-1
ntfs-3g	1:2022.10.3-5+deb13u1
ocl-icd-libopencl1:arm64	2.3.3-1
openjdk-21-jre-headless:arm64	21.0.11+10-1~deb13u2
openssh-client	1:10.0p1-7+deb13u4
openssh-server	1:10.0p1-7+deb13u4
openssh-sftp-server	1:10.0p1-7+deb13u4
openssl	3.5.6-1~deb13u1
openssl-provider-legacy	3.5.6-1~deb13u1
p7zip-full	16.02+transitional.1
pahole	1.30-1
parted	3.6-5
passwd	1:4.17.4-2
pastebinit	1.7.1-1+~rpt2
patch	2.8-2
pci.ids	0.0~2025.06.09-1
pciutils	1:3.13.0-2
perl	5.40.1-6
perl-base	5.40.1-6
perl-modules-5.40	5.40.1-6
pinentry-curses	1.3.1-2
pkg-config:arm64	1.8.1-4
pkgconf:arm64	1.8.1-4
pkgconf-bin	1.8.1-4
pocketsphinx-en-us	0.8+5prealpha+1-15
polkitd	126-2
ppp	2.5.2-1+1
procps	2:4.0.4-9
psmisc	23.7-2
publicsuffix	20250328.1952-0.1
python-apt-common	3.0.0
python-babel-localedata	2.17.0-1
python-is-python3	3.13.3-1
python3	3.13.5-1
python3-apriltag:arm64	3.4.2-1+b2
python3-apt	3.0.0
python3-arrow	1.3.0-1.1
python3-attr	25.3.0-1
python3-av	14.2.0-1
python3-babel	2.17.0-1
python3-bcrypt	4.2.0-2.1+b1
python3-blinker	1.9.0-1
python3-certifi	2025.1.31+ds-1
python3-cffi-backend:arm64	1.17.1-3
python3-chardet	5.2.0+dfsg-2
python3-charset-normalizer	3.4.2-1
python3-colorzero	2.0-4
python3-configobj	5.0.9-1
python3-cryptography	43.0.0-3+deb13u1
python3-dateutil	2.9.0-4
python3-debconf	1.5.91
python3-distro	1.9.0-1
python3-fqdn	1.5.1-2
python3-gpiozero	2.0.1-0+rpt1+trixie
python3-idna	3.10-1
python3-isoduration	20.11.0+git20211126.ae0bd61-2
python3-jinja2	3.1.6-1
python3-json-pointer	2.4-3
python3-jsonpatch	1.32-5
python3-jsonschema	4.19.2-6
python3-jsonschema-specifications	2023.12.1-2
python3-jwt	2.10.1-2+deb13u1
python3-kms++	0~git20250807.1813ada-1
python3-lgpio	0.2.2-1~rpt1+trixie
python3-libarchive-c	5.1-1
python3-libcamera	0.7.1+rpt20260429-1
python3-libgpiod	2.2.1-2+deb13u1
python3-linkify-it	2.0.3-1
python3-markdown-it	3.0.0-3
python3-markupsafe	2.1.5-1+b4
python3-mdurl	0.1.2-1
python3-minimal	3.13.5-1
python3-netplan	1.1.2-7+rpt1
python3-numpy	1:2.2.4+ds-1
python3-numpy-dev:arm64	1:2.2.4+ds-1
python3-oauthlib	3.2.2-3
python3-olefile	0.47-1
python3-openexr	1.3.10-1
python3-opengl	3.1.9+dfsg-2
python3-picamera2	0.3.36-1
python3-pidng	4.0.9+git20260513.b096d0b-1
python3-piexif	1.1.3-2
python3-pil:arm64	11.1.0-5+deb13u2
python3-pip-whl	25.1.1+dfsg-1+rpt1
python3-prctl	1.8.1-1+b7
python3-pycryptodome	3.20.0+dfsg-3
python3-pygments	2.18.0+dfsg-2
python3-pyqt5	5.15.11+dfsg-2
python3-pyqt5.sip	12.17.0-1+b1
python3-referencing	0.36.2-1
python3-requests	2.32.3+dfsg-5+deb13u1
python3-rfc3339-validator	0.1.4-2
python3-rfc3986-validator	0.1.1-2
python3-rfc3987	1.3.8-3
python3-rich	13.9.4-1
python3-rpds-py	0.21.0-2+b1
python3-rpi-lgpio	0.6-0~rpt1+trixie
python3-setuptools-whl	78.1.1-0.1
python3-simplejpeg	1.8.1-1+trixie
python3-smbus2	0.4.3-1
python3-spidev	3.6-1+b6
python3-tqdm	4.67.1-5
python3-typeshed	0.0~git20241223.ea91db2-1
python3-uc-micro	1.0.3-1
python3-uritemplate	4.1.1-3
python3-urllib3	2.3.0-3+deb13u1
python3-venv	3.13.5-1
python3-videodev2	0.0.4-1
python3-webcolors	1.13-1
python3-yaml	6.0.2-1+b2
python3.13	3.13.5-2+deb13u2
python3.13-minimal	3.13.5-2+deb13u2
python3.13-venv	3.13.5-2+deb13u2
qt5-gtk-platformtheme:arm64	5.15.15+dfsg-6+deb13u1
qttranslations5-l10n	5.15.15-2
qtwayland5:arm64	5.15.15-3
raspberrypi-archive-keyring	2025.1+rpt1
raspberrypi-net-mods	1.4.4
raspberrypi-sys-mods	1:20260315
raspi-config	20260522
raspi-config-core	20260522
raspi-firmware	1:1.20260521-1
raspi-utils	20260304+1-1
raspi-utils-core	20260304+1-1
raspi-utils-dt	20260304+1-1
raspi-utils-eeprom	20260304+1-1
raspi-utils-otp	20260304+1-1
raspinfo	20260304+1-1
read-edid	3.0.2-1.1+b1
readline-common	8.2-6
rfkill	2.41-5
rpcsvc-proto	1.4.3-1+b1
rpi-cloud-init-mods	1:20260119
rpi-connect-lite	2.11.0
rpi-eeprom	28.24-1
rpi-keyboard-config	1.0
rpi-keyboard-fw-update	1.0.1
rpi-loop-utils	1.2.2
rpi-swap	1.2.2
rpi-systemd-config	1.1.1
rpi-update	20230904
rpi-usb-gadget	1.0.6
rpicam-apps	1.12.0-1
rpicam-apps-core	1.12.0-1
rpicam-apps-encoder:arm64	1.12.0-1
rpicam-apps-imx500-postprocess	1.12.0-1
rpicam-apps-lite	1.12.0-1
rpicam-apps-opencv-postprocess	1.12.0-1
rpicam-apps-preview:arm64	1.12.0-1
rpieepromab	20260304+1-1
rpifwcrypto	20260304+1-1
rsync	3.4.1+ds1-5+deb13u3
runit-helper	2.16.4
sed	4.9-2+deb13u1
sensible-utils	0.0.25
sgml-base	1.31+nmu1
shared-mime-info	2.4-5+b2
sq	1.3.1-2+b2
sqv	1.3.0-3+b2
ssh	1:10.0p1-7+deb13u4
ssh-import-id	5.10-3
strace	6.13+ds-1
sudo	1.9.16p2-3+deb13u2
systemd	257.13-1~deb13u1
systemd-sysv	257.13-1~deb13u1
systemd-timesyncd	257.13-1~deb13u1
systemd-zram-generator	1.2.1-2
sysvinit-utils	3.14-4
tailscale	1.98.4
tailscale-archive-keyring	1.35.181
tar	1.35+dfsg-3.1
tzdata	2026b-0+deb13u1
ucf	3.0052
udev	257.13-1~deb13u1
udisks2	2.10.1-12.1+deb13u1
unzip	6.0-29
usb-modeswitch	2.6.1-4+b2
usb-modeswitch-data	20191128-7
usbutils	1:018-2
userconf-pi	0.18
util-linux	2.41-5
uuid	1.6.4-1
uuid-dev:arm64	2.41-5
v4l-utils	1.30.1-1
va-driver-all:arm64	2.22.0-3
vdpau-driver-all:arm64	1.5-3+b1
vim-common	2:9.1.1230-2
vim-tiny	2:9.1.1230-2
wget	1.25.0-2
whiptail	0.52.25-1
wireless-regdb	2026.02.04-1~deb13u1
wireless-tools	30~pre9-18+b1
wpasupplicant	2:2.10-24
x11-common	1:7.7+24+deb13u1
x11proto-dev	2024.1-1
xauth	1:1.1.2-1.1
xdg-user-dirs	0.18-2
xkb-data	2.42-1
xml-core	0.19
xorg-sgml-doctools	1:1.11-1.1
xtrans-dev	1.4.0-1
xz-utils	5.8.1-1
zip	3.0-15
zlib1g:arm64	1:1.3.dfsg+really1.3.1-1+b1
zstd	1.5.7+dfsg-1
